Athl Country;Athl Id;Athlete;Ed Country;Ed Id;Ed Type;Ed Year;Event;F1_SCore Transfo (copie);FNR (copie);FPR (copie);PRECISION (copie);PRECISION (copie) (groupe);Prediction Correct;RAPPEL (copie);Result Id;Sex;Sport;1;ACCURACY;Age;Age Not Null;Best Rank;Calcul F1_SCORE;Calcul FNR;Calcul FPR;Calcul PRECISION;Calcul RAPPEL;Eval Pred Pred 2;Event Med Pred;Event Med Pred 2;F Rank;F1_SCORE;F1_SCore Transfo;FN;FNR;FP;FPR;Height;Height Not Null;Medal N;Medal N1;Nb Participation;NB_TRUE;PRECISION;Prediction;Proba 0;Proba 1;Rank N1;RAPPEL;TN;Total Medals;TP;TPR;Weight;Weight Not Null;Wrong Medal Prediction
Netherlands;137692;Irene Schouten;People's Republic of China;62;Winter;2022;Mass Start, Women;1;0;;1;Autre;Vrai;1;19020429;Female;Speed Skating;1;1;30;30;3;1;0;;1;1;11;0;1;1;1;1;0;0;0;;168;168;1;1;1;1;1;1;0,599829677;0,400170323;3;1;0;1;1;1;59;59;0
Japan;128029;Nana Takagi;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;1;0;Valeur null et 0;Faux;;19020429;Female;Speed Skating;1;0;30;30;1;;;1;0;;1;1;1;27;;0;0;;1;1;155;155;0;1;1;0;0;1;0,601622518;0,398377482;1;;0;1;0;;47;47;1
Republic of Korea;128101;Kim Bo-Reum;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;1;0;Valeur null et 0;Faux;;19020429;Female;Speed Skating;1;0;29;29;2;;;1;0;;1;2;1;5;;0;0;;1;1;163;163;0;1;1;0;0;1;0,724321327;0,275678673;2;;0;1;0;;58;58;1
United States;149161;Giorgia Birkeland;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;20;20;;;;0;;;0;3;0;12;;0;0;;0;0;;174;0;0;0;1;;0;0,882070337;0,117929663;;;1;0;0;;;67;
Czech Republic;137061;Nikola Zdráhalová;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;26;26;8;;;0;;;0;4;0;;;0;0;;0;0;171;171;0;0;1;1;;0;0,885701747;0,114298253;8;;1;0;0;;61;61;
Netherlands;148670;Marijke Groenewoud;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;23;23;;;;0;;;0;5;0;11;;0;0;;0;0;;174;0;0;0;1;;0;0,892418086;0,107581914;;;1;0;0;;;67;
People's Republic of China;127567;Li Qishi;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;29;29;;;;0;;;0;6;0;16;;0;0;;0;0;175;175;0;0;0;1;;0;0,897732396;0,102267604;;;1;0;0;;68;68;
United States;138379;Mia Kilburg;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;33;33;15;;;0;;;0;7;0;4;;0;0;;0;0;170;170;0;0;1;1;;0;0,897852631;0,102147369;15;;1;0;0;;64;64;
People's Republic of China;136971;Guo Dan;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;32;32;10;;;0;;;0;8;0;13;;0;0;;0;0;160;160;0;0;1;1;;0;0,910100917;0,089899083;10;;1;0;0;;54;54;
Belarus;136785;Maryna Zuyeva;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;30;30;6;;;0;;;0;9;0;7;;0;0;;0;0;177;177;0;0;1;1;;0;0,914274957;0,085725043;6;;1;0;0;;65;65;
Kazakhstan;148578;Nadezhda Morozova;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;24;24;;;;0;;;0;10;0;14;;0;0;;0;0;170;170;0;0;0;1;;0;0,933383367;0,066616633;;;1;0;0;;85;85;
Norway;148711;Sofie Karoline Haugen;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;27;27;;;;0;;;0;11;0;23;;0;0;;0;0;;174;0;0;0;1;;0;0,941767910;0,058232090;;;1;0;0;;;67;
Germany;137335;Michelle Uhrig;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;26;26;;;;0;;;0;12;0;20;;0;0;;0;0;163;163;0;0;0;1;;0;0,945536249;0,054463751;;;1;0;0;;56;56;
Germany;82053;Claudia Pechstein;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;50;50;13;;;0;;;0;13;0;9;;0;0;;0;0;166;166;0;0;1;1;;0;0,946427828;0,053572172;13;;1;0;0;;61;61;
Norway;148710;Marit Fjellanger Bøhm;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;34;34;;;;0;;;0;14;0;25;;0;0;;0;0;;174;0;0;0;1;;0;0,946678215;0,053321785;;;1;0;0;;;67;
Belgium;147885;Sandrine Tas;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;27;27;;;;0;;;0;15;0;24;;0;0;;0;0;;174;0;0;0;1;;0;0,946762920;0,053237080;;;1;0;0;;;67;
ROC  Russian Federation;2300813;Yelizaveta Golubeva;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;26;26;;;;0;;;0;16;0;15;;0;0;;0;0;;174;0;0;0;1;;0;0,946762920;0,053237080;;;1;0;0;;;67;
Belarus;2301215;Yauheniya Varabiova;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;24;24;;;;0;;;0;17;0;18;;0;0;;0;0;;174;0;0;0;1;;0;0,946762920;0,053237080;;;1;0;0;;;67;
Italy;127960;Francesca Lollobrigida;People's Republic of China;62;Winter;2022;Mass Start, Women;0;1;;;Valeur null et 0;Faux;0;19020429;Female;Speed Skating;1;0;31;31;7;;1;;;0;10;18;0;3;;0;1;1;0;;169;169;1;0;1;0;;0;0,947427826;0,052572174;7;0;0;0;0;0;62;62;
Poland;137927;Magdalena Czyszczoń;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;27;27;;;;0;;;0;19;0;10;;0;0;;0;0;165;165;0;0;1;1;;0;0,948278757;0,051721243;;;1;0;0;;59;59;
Japan;137491;Ayano Sato;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;26;26;;;;0;;;0;20;0;8;;0;0;;0;0;157;157;0;0;1;1;;0;0,949617997;0,050382003;;;1;0;0;;56;56;
Republic of Korea;137634;Park Ji-Wu;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;24;24;;;;0;;;0;21;0;26;;0;0;;0;0;162;162;0;0;1;1;;0;0,949617997;0,050382003;;;1;0;0;;58;58;
Poland;137926;Karolina Bosiek;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;22;22;;;;0;;;0;22;0;17;;0;0;;0;0;165;165;0;0;0;1;;0;0,949617997;0,050382003;;;1;0;0;;55;55;
Switzerland;148960;Nadja Wenger;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;31;31;;;;0;;;0;23;0;21;;0;0;;0;0;;174;0;0;0;1;;0;0,951273823;0,048726177;;;1;0;0;;;67;
Canada;119809;Valérie Maltais;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;32;32;;;;0;;;0;24;0;6;;0;0;;0;0;165;165;0;0;0;1;;0;0,952667641;0,047332359;;;1;0;0;;62;62;
Colombia;136988;Laura Gómez;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;32;32;;;;0;;;0;25;0;22;;0;0;;0;0;167;167;0;0;1;1;;0;0,952667641;0,047332359;;;1;0;0;;59;59;
Canada;127534;Ivanie Blondin;People's Republic of China;62;Winter;2022;Mass Start, Women;0;1;;;Valeur null et 0;Faux;0;19020429;Female;Speed Skating;1;0;32;32;;;1;;;0;10;26;0;2;;0;1;1;0;;165;165;1;0;1;0;;0;0,953898763;0,046101237;;0;0;0;0;0;56;56;
ROC;148861;Yelena Sokhryakova;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;32;32;;;;0;;;0;27;0;19;;0;0;;0;0;;174;0;0;0;1;;0;0,961517761;0,038482239;;;1;0;0;;;67;
Argentina;147815;María Victoria Rodríguez;People's Republic of China;62;Winter;2022;Mass Start, Women;0;;0;;Valeur null et 0;Vrai;;19020429;Female;Speed Skating;1;1;31;31;;;;0;;;0;28;0;28;;0;0;;0;0;;174;0;0;0;1;;0;0,963158066;0,036841934;;;1;0;0;;;67;
Republic of Korea;119690;Lee Seung-Hun;People's Republic of China;62;Winter;2022;Mass Start, Men;1;0;;1;Autre;Vrai;1;19020405;Male;Speed Skating;1;1;34;34;1;1;0;;1;1;11;0;1;3;1;1;0;0;0;;178;178;1;1;1;1;1;1;0,772110137;0,227889863;1;1;0;1;1;1;70;70;0
Belgium;127397;Bart Swings;People's Republic of China;62;Winter;2022;Mass Start, Men;1;0;;1;Autre;Vrai;1;19020405;Male;Speed Skating;1;1;31;31;2;1;0;;1;1;11;1;1;1;1;1;0;0;0;;179;179;1;1;1;1;1;1;0,784982580;0,215017420;2;1;0;1;1;1;67;67;0
Denmark;137072;Viktor Hald Thorup;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;1;0;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;0;28;28;5;;;1;0;;1;2;1;21;;0;0;;1;1;190;190;0;0;1;0;0;0;0,870561527;0,129438473;5;;0;0;0;;80;80;1
Netherlands;109681;Sven Kramer;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;36;36;16;;;0;;;0;3;0;16;;0;0;;0;0;185;185;0;0;1;1;;0;0,885016686;0,114983314;16;;1;0;0;;80;80;
Switzerland;138108;Livio Wenger;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;29;29;4;;;0;;;0;4;0;7;;0;0;;0;0;175;175;0;0;1;1;;0;0,887572128;0,112427872;4;;1;0;0;;70;70;
Republic of Korea;137636;Jeong Jae-Won;People's Republic of China;62;Winter;2022;Mass Start, Men;0;1;;;Valeur null et 0;Faux;0;19020405;Male;Speed Skating;1;0;21;21;8;;1;;;0;10;5;0;2;;0;1;1;0;;175;175;1;0;1;0;;0;0,890191042;0,109808958;8;0;0;0;0;0;62;62;
United States;149165;Ian Quinn;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;29;29;;;;0;;;0;6;0;26;;0;0;;0;0;;174;0;0;0;1;;0;0,895096251;0,104903749;;;1;0;0;;;67;
United States;128784;Joey Mantia;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;36;36;9;;;0;;;0;7;0;4;;0;0;;0;0;173;173;0;0;1;1;;0;0,903589787;0,096410213;9;;1;0;0;;78;78;
Norway;148716;Peder Kongshaug;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;21;21;;;;0;;;0;8;0;28;;0;0;;0;0;184;184;0;0;0;1;;0;0,903671953;0,096328047;;;1;0;0;;86;86;
Netherlands;128171;Jorrit Bergsma;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;36;36;;;;0;;;0;9;0;9;;0;0;;0;0;188;188;0;0;0;1;;0;0,906628629;0,093371371;;;1;0;0;;73;73;
People's Republic of China;148129;Ning Zhongyan;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;23;23;;;;0;;;0;10;0;12;;0;0;;0;0;;174;0;0;0;1;;0;0,907815817;0,092184183;;;1;0;0;;;67;
People's Republic of China;148130;Wang Haotian;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;24;24;;;;0;;;0;11;0;23;;0;0;;0;0;;174;0;0;0;1;;0;0,907815817;0,092184183;;;1;0;0;;;67;
Norway;148718;Kristian Ulekleiv;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;26;26;;;;0;;;0;12;0;14;;0;0;;0;0;;174;0;0;0;1;;0;0,924991607;0,075008393;;;1;0;0;;;67;
Kazakhstan;2300575;Dmitry Morozov;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;26;26;;;;0;;;0;13;0;19;;0;0;;0;0;186;186;0;0;0;1;;0;0,938359327;0,061640673;;;1;0;0;;90;90;
Belarus;136786;Ihnat Halavatsiuk;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;25;25;;;;0;;;0;14;0;24;;0;0;;0;0;187;187;0;0;0;1;;0;0,944792965;0,055207035;;;1;0;0;;82;82;
Poland;119745;Zbigniew Bródka;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;38;38;;;;0;;;0;15;0;27;;0;0;;0;0;183;183;0;0;0;1;;0;0,946820502;0,053179498;;;1;0;0;;85;85;
Italy;127962;Andrea Giovannini;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;29;29;12;;;0;;;0;16;0;11;;0;0;;0;0;178;178;0;0;1;1;;0;0,947562429;0,052437571;12;;1;0;0;;73;73;
Denmark;137071;Stefan Due Schmidt;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;28;28;13;;;0;;;0;17;0;25;;0;0;;0;0;184;184;0;0;1;1;;0;0,947562429;0,052437571;13;;1;0;0;;77;77;
Canada;136921;Jordan Belchos;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;33;33;;;;0;;;0;18;0;13;;0;0;;0;0;184;184;0;0;0;1;;0;0,949461877;0,050538123;;;1;0;0;;81;81;
Japan;137493;Seitaro Ichinohe;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;26;26;;;;0;;;0;19;0;8;;0;0;;0;0;176;176;0;0;0;1;;0;0,949906273;0,050093727;;;1;0;0;;70;70;
Italy;1800045;Michele Malfatti;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;28;28;;;;0;;;0;20;0;20;;0;0;;0;0;183;183;0;0;0;1;;0;0,949906273;0,050093727;;;1;0;0;;75;75;
Japan;137496;Ryosuke Tsuchiya;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;28;28;;;;0;;;0;21;0;6;;0;0;;0;0;178;178;0;0;1;1;;0;0,950447722;0,049552278;;;1;0;0;;68;68;
Austria;147879;Gabriel Odor;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;22;22;;;;0;;;0;22;0;10;;0;0;;0;0;185;185;0;0;0;1;;0;0,950447722;0,049552278;;;1;0;0;;60;60;
Canada;148010;Antoine Gélinas-Beaulieu;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;30;30;;;;0;;;0;23;0;15;;0;0;;0;0;;174;0;0;0;1;;0;0,950447722;0,049552278;;;1;0;0;;;67;
Poland;148743;Artur Janicki;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;24;24;;;;0;;;0;24;0;22;;0;0;;0;0;;174;0;0;0;1;;0;0,950447722;0,049552278;;;1;0;0;;;67;
Germany;148447;Felix Rijhnen;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;32;32;;;;0;;;0;25;0;;;0;0;;0;0;;174;0;0;0;1;;0;0,950967102;0,049032898;;;1;0;0;;;67;
New Zealand;137776;Peter Michael;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;33;33;15;;;0;;;0;26;0;18;;0;0;;0;0;183;183;0;0;1;1;;0;0,952009022;0,047990978;15;;1;0;0;;72;72;
ROC  Russian Federation;119798;Ruslan Zakharov;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;35;35;;;;0;;;0;27;0;29;;0;0;;0;0;173;173;0;0;0;1;;0;0,954163727;0,045836273;;;1;0;0;;72;72;
Latvia;119817;Haralds Silovs;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;36;36;;;;0;;;0;28;0;17;;0;0;;0;0;178;178;0;0;1;1;;0;0,954163727;0,045836273;;;1;0;0;;78;78;
ROC;148862;Daniil Aldoshkin;People's Republic of China;62;Winter;2022;Mass Start, Men;0;;0;;Valeur null et 0;Vrai;;19020405;Male;Speed Skating;1;1;21;21;;;;0;;;0;29;0;5;;0;0;;0;0;;174;0;0;0;1;;0;0,961960853;0,038039147;;;1;0;0;;;67;
Japan;119706;Nao Kodaira;People's Republic of China;62;Winter;2022;500 metres, Women;0;;1;0;Valeur null et 0;Faux;;19020424;Female;Speed Skating;1;0;36;36;1;;;1;0;;1;0;1;17;;0;0;;1;1;165;165;0;1;3;0;0;1;0,729863271;0,270136729;1;;0;1;0;;61;61;1
United States;128778;Brittany Bowe;People's Republic of China;62;Winter;2022;500 metres, Women;0;;1;0;Valeur null et 0;Faux;;19020424;Female;Speed Skating;1;0;34;34;5;;;1;0;;1;1;1;16;;0;0;;1;1;170;170;0;0;2;0;0;1;0,783782171;0,216217829;5;;0;0;0;;66;66;1
ROC  Russian Federation;119710;Olga Fatkulina;People's Republic of China;62;Winter;2022;500 metres, Women;0;;1;0;Valeur null et 0;Faux;;19020424;Female;Speed Skating;1;0;32;32;2;;;1;0;;1;2;1;10;;0;0;;1;1;172;172;0;1;2;0;0;1;0,798777109;0,201222891;2;;0;1;0;;62;62;1
Austria;127389;Vanessa Herzog;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;27;27;4;;;0;;;0;3;0;4;;0;0;;0;0;175;175;0;0;2;1;;0;0,861979470;0,138020530;4;;1;0;0;;70;70;
United States;149162;Kimi Goetz;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;28;28;;;;0;;;0;4;0;18;;0;0;;0;0;;174;0;0;0;1;;0;0,887781386;0,112218614;;;1;0;0;;;67;
United States;138378;Erin Jackson;People's Republic of China;62;Winter;2022;500 metres, Women;0;1;;;Valeur null et 0;Faux;0;19020424;Female;Speed Skating;1;0;30;30;24;;1;;;0;10;5;0;1;;0;1;1;0;;163;163;1;0;1;0;;0;0,890782890;0,109217110;24;0;0;0;0;0;61;61;
Netherlands;148669;Michelle de Jong;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;23;23;;;;0;;;0;6;0;13;;0;0;;0;0;;174;0;0;0;1;;0;0,892418086;0,107581914;;;1;0;0;;;67;
Netherlands;148672;Femke Kok;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;22;22;;;;0;;;0;7;0;6;;0;0;;0;0;;174;0;0;0;1;;0;0,892418086;0,107581914;;;1;0;0;;;67;
Netherlands;148673;Jutta Leerdam;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;24;24;;;;0;;;0;8;0;5;;0;0;;0;0;;174;0;0;0;1;;0;0,892418086;0,107581914;;;1;0;0;;;67;
People's Republic of China;136975;Tian Ruining;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;25;25;20;;;0;;;0;9;0;14;;0;0;;0;0;168;168;0;0;1;1;;0;0,899703088;0,100296912;20;;1;0;0;;61;61;
People's Republic of China;148125;Jin Jingzhu;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;30;30;;;;0;;;0;10;0;12;;0;0;;0;0;;174;0;0;0;1;;0;0,901290070;0,098709930;;;1;0;0;;;67;
Japan;137489;Arisa Go;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;35;35;8;;;0;;;0;11;0;15;;0;0;;0;0;160;160;0;0;1;1;;0;0,917852005;0,082147995;8;;1;0;0;;54;54;
ROC  Russian Federation;128402;Angelina Golikova;People's Republic of China;62;Winter;2022;500 metres, Women;0;1;;;Valeur null et 0;Faux;0;19020424;Female;Speed Skating;1;0;31;31;7;;1;;;0;10;12;0;3;;0;1;1;0;;172;172;1;0;2;0;;0;0,941528686;0,058471314;7;0;0;0;0;0;72;72;
Norway;148712;Martine Ripsrud;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;27;27;;;;0;;;0;13;0;23;;0;0;;0;0;;174;0;0;0;1;;0;0,941767910;0,058232090;;;1;0;0;;;67;
Norway;148713;Julie Nistad Samsonsen;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;22;22;;;;0;;;0;14;0;24;;0;0;;0;0;;174;0;0;0;1;;0;0,941767910;0,058232090;;;1;0;0;;;67;
Poland;137928;Kaja Ziomek;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;25;25;25;;;0;;;0;15;0;9;;0;0;;0;0;169;169;0;0;1;1;;0;0,944280628;0,055719372;25;;1;0;0;;63;63;
Kazakhstan;119740;Yekaterina Aydova;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;31;31;18;;;0;;;0;16;0;20;;0;0;;0;0;164;164;0;0;3;1;;0;0,944866109;0,055133891;21;;1;0;0;;70;70;
Belgium;147885;Sandrine Tas;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;27;27;;;;0;;;0;17;0;28;;0;0;;0;0;;174;0;0;0;1;;0;0,946762920;0,053237080;;;1;0;0;;;67;
Canada;148006;Brooklyn McDougall;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;24;24;;;;0;;;0;18;0;22;;0;0;;0;0;;174;0;0;0;1;;0;0,946762920;0,053237080;;;1;0;0;;;67;
Poland;148742;Andżelika Wójcik;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;26;26;;;;0;;;0;19;0;11;;0;0;;0;0;;174;0;0;0;1;;0;0,946762920;0,053237080;;;1;0;0;;;67;
Belarus;2301213;Hanna Nifantava;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;23;23;;;;0;;;0;20;0;19;;0;0;;0;0;;174;0;0;0;1;;0;0,946762920;0,053237080;;;1;0;0;;;67;
Romania;2301776;Mihaela Hogaș;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;24;24;;;;0;;;0;21;0;29;;0;0;;0;0;;174;0;0;0;1;;0;0,946762920;0,053237080;;;1;0;0;;;67;
Canada;136917;Heather McLean;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;29;29;14;;;0;;;0;22;0;27;;0;0;;0;0;164;164;0;0;1;1;;0;0,947261414;0,052738586;14;;1;0;0;;57;57;
Republic of Korea;137633;Kim Min-Seon;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;23;23;16;;;0;;;0;23;0;7;;0;0;;0;0;166;166;0;0;1;1;;0;0,947261414;0,052738586;16;;1;0;0;;54;54;
Czech Republic;137061;Nikola Zdráhalová;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;26;26;;;;0;;;0;24;0;25;;0;0;;0;0;171;171;0;0;0;1;;0;0,948278757;0,051721243;;;1;0;0;;61;61;
Japan;119701;Miho Takagi;People's Republic of China;62;Winter;2022;500 metres, Women;0;1;;;Valeur null et 0;Faux;0;19020424;Female;Speed Skating;1;0;28;28;;;1;;;0;10;25;0;2;;0;1;1;0;;163;163;1;0;0;0;;0;0,949617997;0,050382003;;0;0;0;0;0;57;57;
Canada;127536;Marsha Hudey;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;32;32;10;;;0;;;0;26;0;21;;0;0;;0;0;157;157;0;0;2;1;;0;0,950446259;0,049553741;10;;1;0;0;;59;59;
Chinese Taipei;138224;Huang Yu-Ting;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;34;34;22;;;0;;;0;27;0;26;;0;0;;0;0;170;170;0;0;1;1;;0;0,951732232;0,048267768;22;;1;0;0;;55;55;
ROC;148859;Darya Kachanova;People's Republic of China;62;Winter;2022;500 metres, Women;0;;0;;Valeur null et 0;Vrai;;19020424;Female;Speed Skating;1;1;25;25;;;;0;;;0;28;0;8;;0;0;;0;0;;174;0;0;0;1;;0;0,959095343;0,040904657;;;1;0;0;;;67;
